,ORIGIN_AIRPORT_ID,Address
0,13891,"Ontario, CA: Ontario International"
14,13931,"Norfolk, VA: Norfolk International"
20,14027,"West Palm Beach/Palm Beach, FL: Palm Beach International"
26,14057,"Portland, OR: Portland International"
58,14100,"Philadelphia, PA: Philadelphia International"
82,14107,"Phoenix, AZ: Phoenix Sky Harbor International"
241,14122,"Pittsburgh, PA: Pittsburgh International"
267,14193,"Pensacola, FL: Pensacola International"
270,14307,"Providence, RI: Theodore Francis Green State"
281,14321,"Portland, ME: Portland International Jetport"
283,14492,"Raleigh/Durham, NC: Raleigh-Durham International"
312,14524,"Richmond, VA: Richmond International"
314,14570,"Reno, NV: Reno/Tahoe International"
337,14576,"Rochester, NY: Greater Rochester International"
341,14635,"Fort Myers, FL: Southwest Florida International"
357,14679,"San Diego, CA: San Diego International"
466,14683,"San Antonio, TX: San Antonio International"
514,14730,"Louisville, KY: Louisville Muhammad Ali International"
526,14747,"Seattle, WA: Seattle/Tacoma International"
555,14771,"San Francisco, CA: San Francisco International"
596,14831,"San Jose, CA: Norman Y. Mineta San Jose International"
701,14843,"San Juan, PR: Luis Munoz Marin International"
714,14869,"Salt Lake City, UT: Salt Lake City International"
742,14893,"Sacramento, CA: Sacramento International"
827,14908,"Santa Ana, CA: John Wayne Airport-Orange County"
865,15016,"St. Louis, MO: St Louis Lambert International"
971,15304,"Tampa, FL: Tampa International"
1039,15370,"Tulsa, OK: Tulsa International"
1052,15376,"Tucson, AZ: Tucson International"
1063,12206,"Harlingen/San Benito, TX: Valley International"
1064,11337,"Duluth, MN: Duluth International"
1065,13930,"Chicago, IL: Chicago O'Hare International"
1066,12953,"New York, NY: LaGuardia"
1068,11996,"Greer, SC: Greenville-Spartanburg International"
1069,11057,"Charlotte, NC: Charlotte Douglas International"
1072,12266,"Houston, TX: George Bush Intercontinental/Houston"
1074,12511,"Joplin, MO: Joplin Regional"
1075,12945,"Lexington, KY: Blue Grass"
1077,11298,"Dallas/Fort Worth, TX: Dallas/Fort Worth International"
1078,13303,"Miami, FL: Miami International"
1080,13495,"New Orleans, LA: Louis Armstrong New Orleans International"
1081,11193,"Cincinnati, OH: Cincinnati/Northern Kentucky International"
1083,11067,"Champaign/Urbana, IL: University of Illinois/Willard"
1085,14711,"State College, PA: University Park"
1087,12323,"Wilmington, NC: Wilmington International"
1090,12478,"New York, NY: John F. Kennedy International"
1092,13290,"Manhattan/Ft. Riley, KS: Manhattan Regional"
1096,11267,"Dayton, OH: James M Cox/Dayton International"
1098,12891,"Lawton/Fort Sill, OK: Lawton-Fort Sill Regional"
1099,14783,"Springfield, MO: Springfield-Branson National"
1101,14952,"Springfield, IL: Abraham Lincoln Capital"
1103,14814,"Shreveport, LA: Shreveport Regional"
1108,10408,"Appleton, WI: Appleton International"
1114,11612,"Evansville, IN: Evansville Regional"
1116,11982,"Killeen, TX: Robert Gray AAF"
1117,10994,"Charleston, SC: Charleston AFB/International"
1124,11274,"Dubuque, IA: Dubuque Regional"
1126,10135,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
1128,10792,"Buffalo, NY: Buffalo Niagara International"
1131,11049,"College Station/Bryan, TX: Easterwood Field"
1134,11973,"Gulfport/Biloxi, MS: Gulfport-Biloxi International"
1135,10747,"Brownsville, TX: Brownsville South Padre Island International"
1138,15411,"Tyler, TX: Tyler Pounds Regional"
1139,15919,"Fayetteville, AR: Northwest Arkansas Regional"
1140,13502,"Montrose/Delta, CO: Montrose Regional"
1144,14108,"Peoria, IL: General Downing - Peoria International"
1149,12992,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field"
1156,13377,"Monroe, LA: Monroe Regional"
1157,11721,"Flint, MI: Bishop International"
1159,10268,"Waterloo, IA: Waterloo Regional"
1165,11423,"Des Moines, IA: Des Moines International"
1167,15401,"Texarkana, AR: Texarkana Regional-Webb Field"
1170,15023,"Santa Rosa, CA: Charles M. Schulz - Sonoma County"
1173,11003,"Cedar Rapids/Iowa City, IA: The Eastern Iowa"
1181,11775,"Sioux Falls, SD: Joe Foss Field"
1187,15249,"Tallahassee, FL: Tallahassee International"
1193,13076,"La Crosse, WI: La Crosse Regional"
1200,13367,"Moline, IL: Quad City International"
1204,11778,"Fort Smith, AR: Fort Smith Regional"
1210,11624,"Key West, FL: Key West International"
1211,10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
1215,10685,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
1222,10868,"Columbia, SC: Columbia Metropolitan"
1232,11921,"Grand Junction, CO: Grand Junction Regional"
1234,11042,"Cleveland, OH: Cleveland-Hopkins International"
1237,11109,"Colorado Springs, CO: City of Colorado Springs Municipal"
1239,11140,"Corpus Christi, TX: Corpus Christi International"
1247,11433,"Detroit, MI: Detroit Metro Wayne County"
1251,11637,"Fargo, ND: Hector International"
1257,11823,"Fort Wayne, IN: Fort Wayne International"
1262,11867,"Garden City, KS: Garden City Regional"
1265,11884,"Spokane, WA: Spokane International"
1272,11977,"Green Bay, WI: Green Bay Austin Straubel International"
1275,11980,"Grand Island, NE: Central Nebraska Regional"
1277,13230,"Harrisburg, PA: Harrisburg International"
1280,11986,"Grand Rapids, MI: Gerald R. Ford International"
1282,14842,"San Angelo, TX: San Angelo Regional/Mathis Field"
1284,14960,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal"
1285,10136,"Abilene, TX: Abilene Regional"
1288,13061,"Laredo, TX: Laredo International"
1289,11995,"Greensboro/High Point, NC: Piedmont Triad International"
1293,12191,"Houston, TX: William P Hobby"
1295,10849,"Bozeman, MT: Bozeman Yellowstone International"
1300,11066,"Columbus, OH: John Glenn Columbus International"
1302,12217,"Huntsville, AL: Huntsville International-Carl T Jones Field"
1305,12278,"Wichita, KS: Wichita Dwight D Eisenhower National"
1313,12451,"Jacksonville, FL: Jacksonville International"
1320,12896,"Lubbock, TX: Lubbock Preston Smith International"
1322,12915,"Lake Charles, LA: Lake Charles Regional"
1326,13198,"Kansas City, MO: Kansas City International"
1329,13244,"Memphis, TN: Memphis International"
1332,13256,"Mission/McAllen/Edinburg, TX: McAllen Miller International"
1340,13485,"Madison, WI: Dane County Regional-Truax Field"
1342,13486,"Missoula, MT: Missoula International"
1343,13871,"Omaha, NE: Eppley Airfield"
1350,13851,"Oklahoma City, OK: Will Rogers World"
1356,14986,"Sarasota/Bradenton, FL: Sarasota/Bradenton International"
1358,14689,"Santa Barbara, CA: Santa Barbara Municipal"
1364,12012,"Gunnison, CO: Gunnison-Crested Butte Regional"
1366,12264,"Washington, DC: Washington Dulles International"
1371,10140,"Albuquerque, NM: Albuquerque International Sunport"
1385,10423,"Austin, TX: Austin - Bergstrom International"
1388,12951,"Lafayette, LA: Lafayette Regional Paul Fournet Field"
1390,11278,"Washington, DC: Ronald Reagan Washington National"
1391,10721,"Boston, MA: Logan International"
1393,10693,"Nashville, TN: Nashville International"
1396,11697,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
1398,10785,"Burlington, VT: Burlington International"
1401,14685,"Savannah, GA: Savannah/Hilton Head International"
1410,13158,"Midland/Odessa, TX: Midland International Air and Space Port"
1428,13422,"Mobile, AL: Mobile Regional"
1429,10781,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
1463,13342,"Milwaukee, WI: General Mitchell International"
1471,11540,"El Paso, TX: El Paso International"
1491,10874,"Akron, OH: Akron-Canton Regional"
1495,10529,"Hartford, CT: Bradley International"
1497,12339,"Indianapolis, IN: Indianapolis International"
1501,11481,"Panama City, FL: Northwest Florida Beaches International"
1529,12173,"Honolulu, HI: Daniel K Inouye International"
1531,13830,"Kahului, HI: Kahului Airport"
1540,13796,"Oakland, CA: Metropolitan Oakland International"
1546,12892,"Los Angeles, CA: Los Angeles International"
1550,12758,"Kona, HI: Ellison Onizuka Kona International at Keahole"
1552,12982,"Lihue, HI: Lihue Airport"
1555,12954,"Long Beach, CA: Long Beach Airport"
1557,12402,"Hilo, HI: Hilo International"
1742,10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
1750,13139,"Lynchburg, VA: Lynchburg Regional/Preston Glenn Field"
1751,10431,"Asheville, NC: Asheville Regional"
1754,10990,"Charlottesville, VA: Charlottesville Albemarle"
1768,10599,"Birmingham, AL: Birmingham-Shuttlesworth International"
1774,15412,"Knoxville, TN: McGhee Tyson"
1779,13296,"Manchester, NH: Manchester-Boston Regional"
1780,10980,"Chattanooga, TN: Lovell Field"
1782,10581,"Bangor, ME: Bangor International"
1791,10208,"Augusta, GA: Augusta Regional at Bush Field"
1800,12197,"White Plains, NY: Westchester County"
1815,15624,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach"
1836,13795,"Jacksonville/Camp Lejeune, NC: Albert J Ellis"
1847,14696,"South Bend, IN: South Bend International"
1850,15096,"Syracuse, NY: Syracuse Hancock International"
1856,11252,"Daytona Beach, FL: Daytona Beach International"
1874,14098,"Newport News/Williamsburg, VA: Newport News/Williamsburg International"
1875,11953,"Gainesville, FL: Gainesville Regional"
1904,11618,"Newark, NJ: Newark Liberty International"
1942,11292,"Denver, CO: Denver International"
1971,12889,"Las Vegas, NV: McCarran International"
2023,13204,"Orlando, FL: Orlando International"
2062,14262,"Palm Springs, CA: Palm Springs International"
2082,10821,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
2185,11638,"Fresno, CA: Fresno Yosemite International"
2212,12441,"Jackson, WY: Jackson Hole"
2235,13487,"Minneapolis, MN: Minneapolis-St Paul International"
2252,15024,"Charlotte Amalie, VI: Cyril E King"
2268,12094,"Hayden, CO: Yampa Valley"
2282,13577,"Myrtle Beach, SC: Myrtle Beach International"
2297,11503,"Eagle, CO: Eagle County Regional"
2320,10713,"Boise, ID: Boise Air Terminal"
2354,10257,"Albany, NY: Albany International"
2478,10732,"Aguadilla, PR: Rafael Hernandez"
2488,10158,"Atlantic City, NJ: Atlantic City International"
2541,12898,"Latrobe, PA: Arnold Palmer Regional"
2585,16218,"Yuma, AZ: Yuma MCAS/Yuma International"
2599,11695,"Flagstaff, AZ: Flagstaff Pulliam"
2602,14489,"Bend/Redmond, OR: Roberts Field"
2625,11111,"Columbia, MO: Columbia Regional"
2632,14698,"San Luis Obispo, CA: San Luis County Regional"
2661,11603,"Eugene, OR: Mahlon Sweet Field"
2679,14674,"Santa Fe, NM: Santa Fe Municipal"
2681,14588,"Roswell, NM: Roswell International Air Center"
2684,13264,"Medford, OR: Rogue Valley International - Medford"
2704,13277,"Montgomery, AL: Montgomery Regional"
2718,14109,"Hattiesburg/Laurel, MS: Hattiesburg-Laurel Regional"
2724,11233,"Cheyenne, WY: Cheyenne Regional/Jerry Olson Field"
2726,14794,"St. George, UT: St George Regional"
2727,13241,"Meridian, MS: Key Field"
2735,11146,"Charleston/Dunbar, WV: Yeager"
2742,14457,"Rapid City, SD: Rapid City Regional"
2848,10372,"Aspen, CO: Aspen Pitkin County Sardy Field"
2874,15380,"Traverse City, MI: Cherry Capital"
2910,10800,"Burbank, CA: Bob Hope"
2912,11259,"Dallas, TX: Dallas Love Field"
3039,13476,"Monterey, CA: Monterey Regional"
3077,10620,"Billings, MT: Billings Logan International"
3082,10731,"Brunswick, GA: Brunswick Golden Isles"
3084,10627,"Bismarck/Mandan, ND: Bismarck Municipal"
3087,13232,"Chicago, IL: Chicago Midway International"
3088,11898,"Grand Forks, ND: Grand Forks International"
3090,14252,"Pasco/Kennewick/Richland, WA: Tri Cities"
3092,10146,"Albany, GA: Southwest Georgia Regional"
3094,12003,"Great Falls, MT: Great Falls International"
3096,15389,"Twin Falls, ID: Joslin Field - Magic Valley Regional"
3104,13433,"Minot, ND: Minot International"
3162,14574,"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field"
3164,10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
3171,12884,"Lansing, MI: Capital Region International"
3175,11537,"Elmira/Corning, NY: Elmira/Corning Regional"
3176,15041,"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial"
3191,12280,"Idaho Falls, ID: Idaho Falls Regional"
3201,15607,"Valdosta, GA: Valdosta Regional"
3204,11577,"Erie, PA: Erie International/Tom Ridge Field"
3222,15323,"Bristol/Johnson City/Kingsport, TN: Tri Cities"
3229,13029,"Lincoln, NE: Lincoln Airport"
3241,12007,"Columbus, MS: Golden Triangle Regional"
3299,16869,"Williston, ND: Williston Basin International"
3342,11648,"Kalispell, MT: Glacier Park International"
3345,12156,"Helena, MT: Helena Regional"
3362,11308,"Dothan, AL: Dothan Regional"
3374,11641,"Fayetteville, NC: Fayetteville Regional/Grannis Field"
3478,14633,"Rochester, MN: Rochester International"
3530,11525,"Elko, NV: Elko Regional"
3532,12343,"International Falls, MN: Falls International Einarson Field"
3534,14113,"Pocatello, ID: Pocatello Regional"
3541,12397,"Ithaca/Cortland, NY: Ithaca Tompkins Regional"
3543,10577,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
3546,10739,"Brainerd, MN: Brainerd Lakes Regional"
3547,11122,"Casper, WY: Casper/Natrona County International"
3551,10918,"Cedar City, UT: Cedar City Regional"
3553,12129,"Hibbing, MN: Range Regional"
3570,13459,"Marquette, MI: Sawyer International"
3572,10141,"Aberdeen, SD: Aberdeen Regional"
3575,14150,"Pellston, MI: Pellston Regional Airport of Emmet County"
3576,13127,"Lewiston, ID: Lewiston Nez Perce County"
3584,10333,"Alpena, MI: Alpena County Regional"
3594,11587,"Escanaba, MI: Delta County"
3602,12335,"Iron Mountain/Kingsfd, MI: Ford"
3605,10779,"Butte, MT: Bert Mooney"
3610,10631,"Bemidji, MN: Bemidji Regional"
3611,14520,"Rhinelander, WI: Rhinelander/Oneida County"
3641,15070,"Newburgh/Poughkeepsie, NY: New York Stewart International"
3675,11447,"Devils Lake, ND: Devils Lake Regional"
3676,12519,"Jamestown, ND: Jamestown Regional"
3677,11092,"Moab, UT: Canyonlands Field"
3678,13344,"Muskegon, MI: Muskegon County"
3679,12255,"Hays, KS: Hays Regional"
3680,14877,"Salina, KS: Salina Regional"
3681,11865,"Gillette, WY: Gillette Campbell County"
3683,11027,"Clarksburg/Fairmont, WV: North Central West Virginia"
3687,13184,"Saginaw/Bay City/Midland, MI: MBS International"
3689,14543,"Rock Springs, WY: Southwest Wyoming Regional"
3693,13832,"Ogdensburg, NY: Ogdensburg International"
3697,12902,"Liberal, KS: Liberal Mid-America Regional"
3698,14288,"Pueblo, CO: Pueblo Memorial"
3700,11468,"Kearney, NE: Kearney Regional"
3701,11471,"Eau Claire, WI: Chippewa Valley Regional"
3706,15454,"Quincy, IL: Quincy Regional-Baldwin Field"
3708,14025,"Plattsburgh, NY: Plattsburgh International"
3710,15582,"Vernal, UT: Vernal Regional"
3711,12899,"North Platte, NE: North Platte Regional Airport Lee Bird Field"
3712,13121,"Lewisburg, WV: Greenbrier Valley"
3713,14802,"Staunton, VA: Shenandoah Valley Regional"
3714,10558,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
3723,10967,"Cape Girardeau, MO: Cape Girardeau Regional"
3728,10409,"Watertown, SD: Watertown Regional"
3729,11076,"Hancock/Houghton, MI: Houghton County Memorial"
3734,14716,"Stockton, CA: Stockton Metropolitan"
3742,12888,"Laramie, WY: Laramie Regional"
3743,14120,"Pierre, SD: Pierre Regional"
3751,14237,"Prescott, AZ: Prescott Regional Ernest A Love Field"
3764,11097,"Cody, WY: Yellowstone Regional"
3773,10157,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
3777,10561,"Bakersfield, CA: Meadows Field"
3785,11203,"Mosinee, WI: Central Wisconsin"
3849,12177,"Hobbs, NM: Lea County Regional"
3952,14487,"Redding, CA: Redding Municipal"
4076,13964,"North Bend/Coos Bay, OR: Southwest Oregon Regional"
4139,12448,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International"
4192,14004,"Everett, WA: Snohomish County"
4354,11413,"Durango, CO: Durango La Plata County"
4390,13388,"Mammoth Lakes, CA: Mammoth Lakes Airport"
5201,10299,"Anchorage, AK: Ted Stevens Anchorage International"
5320,12124,"Hilton Head, SC: Hilton Head Airport"
5575,11150,"Columbus, GA: Columbus Airport"
5589,10185,"Alexandria, LA: Alexandria International"
5639,14082,"Punta Gorda, FL: Punta Gorda Airport"
5640,10466,"Phoenix, AZ: Phoenix - Mesa Gateway"
5641,14512,"Rockford, IL: Chicago/Rockford International"
5657,14314,"Provo, UT: Provo Municipal"
5658,14112,"St. Petersburg, FL: St Pete Clearwater International"
5661,14761,"Sanford, FL: Orlando Sanford International"
5678,12544,"Concord, NC: Concord Padgett Regional"
5679,14905,"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field"
5707,12223,"Ashland, WV: Tri-State/Milton J. Ferguson Field"
5716,10666,"Bellingham, WA: Bellingham International"
5729,10676,"Belleville, IL: Scott AFB/MidAmerica"
5800,15048,"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field"
5802,11415,"Del Rio, TX: Del Rio International"
5909,10155,"Waco, TX: Waco Regional"
6228,14254,"Ponce, PR: Mercedita"
6231,13933,"Worcester, MA: Worcester Regional"
6350,13360,"Melbourne, FL: Melbourne International"
6526,10170,"Kodiak, AK: Kodiak Airport"
6528,10551,"Bethel, AK: Bethel Airport"
6530,10754,"Barrow, AK: Wiley Post/Will Rogers Memorial"
6532,14709,"Deadhorse, AK: Deadhorse Airport"
6538,11630,"Fairbanks, AK: Fairbanks International"
6541,12819,"Ketchikan, AK: Ketchikan International"
6542,12523,"Juneau, AK: Juneau International"
6545,14828,"Sitka, AK: Sitka Rocky Gutierrez"
6550,14256,"Petersburg, AK: Petersburg James A Johnson"
6551,15841,"Wrangell, AK: Wrangell Airport"
6619,13873,"Nome, AK: Nome Airport"
6620,13970,"Kotzebue, AK: Ralph Wien Memorial"
6626,10165,"Adak Island, AK: Adak"
7701,15027,"Christiansted, VI: Henry E. Rohlsen"
9299,12016,"Guam, TT: Guam International"
9301,14955,"Saipan, TT: Francisco C. Ada Saipan International"
9398,11617,"New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional"
9658,10279,"Amarillo, TX: Rick Husband Amarillo International"
11184,12391,"Islip, NY: Long Island MacArthur"
12376,15074,"Stillwater, OK: Stillwater Regional"
12390,15295,"Toledo, OH: Toledo Express"
12451,10728,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
12552,11905,"Longview, TX: East Texas Regional"
13543,15356,"Trenton, NJ: Trenton Mercer"
14076,12244,"New Haven, CT: Tweed New Haven"
16190,12265,"Niagara Falls, NY: Niagara Falls International"
25666,12917,"Columbus, OH: Rickenbacker International"
26049,12119,"Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field"
26899,15991,"Yakutat, AK: Yakutat Airport"
26915,10926,"Cordova, AK: Merle K Mudhole Smith"
32861,14222,"Pago Pago, TT: Pago Pago International"
35149,11013,"Sault Ste. Marie, MI: Chippewa County International"
35308,14006,"Paducah, KY: Barkley Regional"
48960,14259,"Portsmouth, NH: Portsmouth International at Pease"
48981,13983,"Owensboro, KY: Owensboro Daviess County Regional"
49102,13829,"Ogden, UT: Ogden-Hinckley"
58423,10562,"Mobile, AL: Mobile Downtown"
65035,15008,"St. Cloud, MN: St. Cloud Regional"
221920,14812,"Sheridan, WY: Sheridan County"
221924,14534,"Riverton/Lander, WY: Riverton Regional"
